buy,sell,total_ret,cagr,max_dd,sharpe
1.04,0.86,4168.65,15.54,-61.1,0.47
1.01,0.71,4161.71,15.53,-69.3,0.47
1.18,0.72,4131.8,15.5,-68.27,0.47
1.18,0.76,4131.8,15.5,-68.27,0.47
1.18,0.75,4131.8,15.5,-68.27,0.47
1.18,0.74,4131.8,15.5,-68.27,0.47
1.18,0.73,4131.8,15.5,-68.27,0.47
1.05,0.87,4063.3,15.43,-61.39,0.47
1.17,0.71,4059.31,15.42,-70.56,0.46
1.11,0.77,4045.64,15.41,-66.82,0.46
1.07,0.84,4039.76,15.4,-64.26,0.47
1.18,0.83,3918.5,15.27,-61.25,0.47
1.0,0.84,3869.84,15.22,-71.51,0.46
1.04,0.89,3859.36,15.2,-57.03,0.47
1.01,0.88,3857.59,15.2,-60.55,0.47
1.19,0.83,3843.01,15.19,-60.2,0.47
1.01,0.85,3785.99,15.12,-62.16,0.46
1.19,0.82,3751.83,15.08,-59.93,0.47
1.18,0.71,3748.61,15.08,-70.13,0.46
1.18,0.82,3745.7,15.08,-62.01,0.46
1.02,0.86,3736.14,15.06,-59.58,0.46
1.06,0.85,3683.65,15.0,-63.74,0.46
1.12,0.78,3672.01,14.99,-66.13,0.46
1.13,0.78,3672.01,14.99,-66.13,0.46
1.13,0.79,3672.01,14.99,-66.13,0.46
1.12,0.79,3672.01,14.99,-66.13,0.46
1.02,0.89,3657.32,14.97,-58.52,0.46
1.0,0.79,3656.27,14.97,-74.02,0.46
1.05,0.86,3638.32,14.95,-61.1,0.46
1.19,0.81,3594.01,14.9,-61.45,0.46
1.18,0.81,3589.9,14.89,-62.01,0.46
1.0,0.78,3581.94,14.88,-74.32,0.46
1.13,0.77,3538.91,14.83,-66.13,0.45
1.12,0.77,3538.91,14.83,-66.13,0.45
1.08,0.84,3510.36,14.8,-68.2,0.45
1.19,0.8,3494.97,14.78,-61.56,0.46
1.14,0.78,3490.33,14.77,-66.45,0.45
1.14,0.79,3490.33,14.77,-66.45,0.45
1.01,0.87,3489.05,14.77,-62.16,0.46
1.18,0.8,3422.47,14.69,-63.19,0.45
1.15,0.78,3413.07,14.68,-66.31,0.45
1.16,0.78,3413.07,14.68,-66.31,0.45
1.15,0.79,3413.07,14.68,-66.31,0.45
1.16,0.79,3413.07,14.68,-66.31,0.45
1.05,0.89,3372.86,14.62,-57.03,0.45
1.14,0.77,3364.93,14.61,-67.49,0.45
1.17,0.79,3307.48,14.54,-66.11,0.45
1.17,0.78,3307.48,14.54,-66.11,0.45
1.16,0.77,3290.93,14.52,-67.35,0.45
1.15,0.77,3290.93,14.52,-67.35,0.45
1.09,0.84,3213.53,14.42,-68.98,0.44
1.17,0.77,3189.77,14.39,-67.15,0.44
1.07,0.85,3129.02,14.3,-66.36,0.44
1.04,1.0,3108.93,14.28,-54.0,0.48
1.01,0.89,3076.17,14.23,-60.55,0.44
1.04,0.99,3025.39,14.16,-54.0,0.48
1.01,0.94,3024.16,14.16,-58.36,0.45
1.02,0.99,2950.99,14.06,-55.67,0.47
1.06,0.88,2909.25,13.99,-61.62,0.44
1.01,0.86,2902.2,13.98,-62.16,0.44
1.19,0.79,2877.81,13.95,-66.03,0.44
1.19,0.78,2877.81,13.95,-66.03,0.44
1.05,1.0,2865.63,13.93,-54.0,0.47
1.01,0.99,2861.45,13.92,-56.45,0.46
1.1,0.84,2844.03,13.9,-65.28,0.43
1.03,1.0,2797.97,13.83,-54.0,0.47
1.06,0.87,2790.75,13.82,-61.4,0.43
1.19,0.77,2776.37,13.8,-67.08,0.43
1.03,0.99,2776.18,13.8,-54.0,0.46
1.0,0.77,2765.96,13.78,-77.22,0.43
1.08,0.85,2732.57,13.73,-70.34,0.43
1.0,0.88,2731.48,13.73,-65.0,0.43
1.18,0.78,2701.24,13.68,-65.55,0.43
1.18,0.79,2701.24,13.68,-65.55,0.43
1.0,0.76,2688.26,13.66,-77.22,0.43
1.02,1.0,2681.15,13.65,-55.24,0.46
1.02,0.98,2676.95,13.64,-55.67,0.46
1.01,0.93,2647.69,13.6,-58.92,0.44
1.0,0.94,2641.05,13.59,-61.34,0.44
1.02,0.94,2634.61,13.58,-57.08,0.44
1.04,0.98,2634.57,13.58,-54.0,0.46
1.11,0.84,2627.98,13.57,-64.76,0.43
1.18,0.77,2608.45,13.53,-66.24,0.42
1.0,0.99,2572.76,13.48,-57.55,0.45
1.01,0.98,2571.28,13.47,-56.45,0.45
1.03,0.98,2567.17,13.47,-54.0,0.45
1.01,0.92,2564.69,13.46,-58.92,0.43
1.0,0.74,2556.87,13.45,-77.83,0.42
1.0,0.75,2556.87,13.45,-77.83,0.42
1.06,0.86,2516.8,13.38,-61.14,0.42
1.05,0.99,2502.02,13.36,-54.0,0.45
1.0,0.73,2480.31,13.32,-78.19,0.42
1.03,0.94,2469.83,13.3,-54.0,0.43
1.02,0.97,2427.42,13.23,-56.02,0.44
1.0,0.98,2425.96,13.23,-57.55,0.44
1.04,0.94,2406.69,13.2,-54.0,0.43
1.09,0.85,2403.28,13.19,-71.2,0.42
1.01,1.0,2395.59,13.18,-55.59,0.45
1.0,0.97,2390.51,13.17,-58.26,0.44
1.01,0.9,2383.12,13.15,-59.74,0.42
1.07,0.88,2360.34,13.11,-64.48,0.42
1.03,0.9,2356.69,13.11,-54.0,0.42
1.0,0.72,2353.07,13.1,-78.78,0.41
1.0,0.87,2342.19,13.08,-67.56,0.42
1.02,0.9,2341.72,13.08,-57.99,0.42
1.02,0.92,2341.03,13.08,-57.45,0.42
1.0,0.93,2330.49,13.06,-62.51,0.43
1.12,0.84,2318.37,13.04,-63.66,0.41
1.02,0.93,2315.68,13.04,-57.45,0.43
1.0,0.85,2305.48,13.02,-67.65,0.41
1.01,0.97,2291.88,12.99,-56.8,0.43
1.0,0.89,2285.31,12.98,-65.0,0.41
1.03,0.92,2283.48,12.98,-54.0,0.42
1.07,0.87,2268.17,12.95,-64.26,0.41
1.06,0.89,2263.01,12.94,-56.58,0.41
1.03,0.97,2252.4,12.92,-54.0,0.43
1.03,0.93,2206.42,12.83,-54.0,0.42
1.13,0.84,2195.75,12.81,-61.67,0.41
1.04,0.93,2184.56,12.79,-54.0,0.42
1.0,0.92,2150.8,12.73,-62.51,0.41
1.05,0.98,2141.68,12.71,-54.0,0.43
1.1,0.85,2139.58,12.71,-67.53,0.4
1.04,0.97,2078.7,12.59,-54.0,0.43
1.08,0.88,2074.89,12.58,-68.84,0.4
1.07,0.86,2055.45,12.54,-63.99,0.4
1.05,0.94,2027.64,12.48,-54.0,0.41
1.04,0.9,2021.32,12.47,-54.0,0.41
1.04,0.95,2013.42,12.46,-54.0,0.41
1.14,0.84,2001.79,12.43,-61.67,0.4
1.0,0.71,2001.18,12.43,-79.57,0.4
1.08,0.87,1996.27,12.42,-68.61,0.4
1.04,0.92,1959.28,12.34,-54.0,0.41
1.01,0.91,1944.33,12.31,-59.76,0.4
1.16,0.84,1907.35,12.23,-61.6,0.4
1.15,0.84,1907.35,12.23,-61.6,0.4
1.03,0.95,1897.33,12.21,-54.0,0.41
1.11,0.85,1892.07,12.2,-67.1,0.39
1.06,1.0,1861.4,12.13,-54.0,0.42
1.05,0.93,1855.3,12.12,-54.0,0.4
1.0,0.9,1850.51,12.11,-63.76,0.39
1.07,0.89,1848.16,12.1,-59.58,0.39
1.08,0.86,1815.04,12.03,-68.33,0.39
1.0,0.86,1808.95,12.02,-67.65,0.39
1.02,0.91,1806.68,12.01,-57.83,0.39
1.1,0.88,1801.12,12.0,-66.11,0.39
1.13,0.88,1791.68,11.98,-54.0,0.39
1.03,0.91,1787.48,11.97,-54.0,0.39
1.09,0.88,1773.99,11.94,-69.83,0.39
1.17,0.84,1763.58,11.91,-61.5,0.39
1.05,0.97,1737.13,11.85,-54.0,0.4
1.1,0.87,1735.22,11.85,-65.87,0.38
1.13,0.87,1725.91,11.82,-54.0,0.39
1.09,0.87,1709.69,11.79,-69.59,0.38
1.05,0.95,1708.77,11.78,-54.0,0.39
1.02,0.95,1703.53,11.77,-57.08,0.39
1.01,0.95,1674.63,11.7,-58.36,0.39
1.12,0.85,1660.15,11.67,-66.2,0.38
1.05,0.9,1654.91,11.65,-54.0,0.38
1.14,0.88,1642.89,11.62,-54.0,0.38
1.17,0.88,1628.29,11.59,-54.0,0.38
1.0,0.91,1614.06,11.55,-65.18,0.38
1.0,0.95,1607.36,11.54,-61.12,0.39
1.05,0.92,1605.5,11.53,-54.0,0.38
1.08,0.89,1588.67,11.49,-63.98,0.38
1.14,0.87,1584.22,11.48,-54.0,0.38
1.1,0.86,1583.37,11.48,-65.58,0.37
1.16,0.88,1576.42,11.46,-54.0,0.38
1.13,0.86,1574.2,11.45,-54.0,0.38
1.15,0.88,1572.38,11.45,-54.0,0.38
1.17,0.87,1570.33,11.44,-54.0,0.38
1.13,0.85,1569.98,11.44,-54.0,0.37
1.09,0.86,1561.68,11.42,-69.3,0.37
1.04,0.91,1549.84,11.39,-54.0,0.38
1.11,0.88,1539.42,11.36,-65.73,0.37
1.06,0.99,1529.91,11.34,-54.0,0.39
1.16,0.87,1520.91,11.31,-54.0,0.37
1.15,0.87,1517.06,11.3,-54.0,0.37
1.07,1.0,1511.4,11.29,-54.0,0.4
1.02,0.96,1510.75,11.29,-56.5,0.38
1.17,0.89,1498.74,11.25,-54.0,0.37
1.11,0.87,1485.9,11.22,-65.47,0.37
